	Indole_production	Methyl_red	Voges-Proskauer	Citrate	Hydrogen_Sulfide_TSI	Urea_hydrolysis	Phenylanine_deaminase	Lysine_deaminase	Arginine_dihydrolase	Ornithine_decarboxylase	Motility	Gelatin_hydrolysis_22_c	Growth_in_KCN	Malonate_utilization	D-Glucose_acid	D-Glucose_Gas	Lactose_fermentation	Sucrose_fermentation	D-Mannitol_fermentation	Dulcitol_fermentation	Salicin_fermentation	Adonitol_fermentation	myo-Inositol_fermentation	D-Sorbitol_fermentation	L-Arabinose_fermentation	Raffinose_fermentation	L-Rhamnose_fermentation	Maltose_fermentation	D-Xylose_fermentation	Trehalose_fermentation	Cellobiose_fermentation	alpha-Methyl-D-glucoside_fermentation	Erythritol_fermentation	Esculin_hydrolysis	Melibiose_fermentation	D-Arabitol_fermentation	Glycerol_fermentation	Mucate_fermentation	Tartrate_Jordans	Acetate_utilization	Lipase_corn_oil	DNase_25_c	Nitrate_to_nitrite	Oxidase_Kovacs	ONPG_test	Yellow_pigment_25_c	D-Mannose_fermentation	Tyrosine_hydrolysis
S.entomoohila	0	20	100	100	0	0	0	0	0	0	100	100	100	0	100	0	0	100	100	0	100	0	0	0	0	0	0	100	40	100	0	0	0	100	0	60	0	0	100	80	20	100	100	0	100	0	100	0
Serratia_fonticola	0	100	9	91	0	13	0	100	0	97	91	0	70	88	100	79	97	21	100	91	100	100	30	100	100	100	76	97	85	100	6	91	0	100	98	100	88	0	58	15	0	0	100	0	100	0	100	0
T.ptyseos	0	0	5	2	0	0	90	0	0	0	0	0	0	0	100	0	0	98	0	0	55	0	0	0	0	11	0	0	9	93	0	0	0	0	25	0	7	0	0	0	0	0	98	0	0	0	100	0
T.guamensis	40	100	0	88	100	0	0	100	50	100	100	0	100	0	100	100	0	0	100	0	13	0	0	100	100	0	100	100	100	100	100	0	0	40	0	0	0	100	50	88	0	0	100	0	100	0	100	0
X.nematophilus	40	0	0	0	0	0	0	0	0	0	100	80	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	20	20	0	0	60	80	0
Y.pestis	0	80	0	0	0	5	0	0	0	0	0	0	0	0	100	0	0	0	97	0	70	0	0	50	100	0	1	80	90	100	0	0	0	50	20	0	50	0	0	0	0	0	85	0	50	0	100	0
Y.pseudotuberculosis	0	100	0	0	0	95	0	0	0	0	0	0	0	0	100	0	0	0	100	0	25	0	0	0	50	15	70	95	100	100	0	0	0	95	70	0	50	0	50	0	0	0	95	0	70	0	100	0
Y.enterocolitica	50	97	2	0	0	75	0	0	0	95	2	0	2	0	100	5	5	95	98	0	20	0	30	99	98	5	1	75	70	98	75	0	0	25	1	40	90	0	85	15	55	5	98	0	95	0	100	0
Y.frederiksenii	100	100	0	15	0	70	0	0	0	95	5	0	0	0	100	40	40	100	100	0	92	0	20	100	100	30	99	100	100	100	100	0	0	85	0	100	85	5	55	15	55	0	100	0	100	0	100	0
Y.intermedia	100	100	5	5	0	80	0	0	0	100	5	0	10	5	100	18	35	100	100	0	100	0	15	100	100	45	100	100	100	100	96	77	0	100	80	45	60	6	88	18	12	0	94	0	90	0	100	0
Y.kristensenii	30	92	0	0	0	77	0	0	0	92	5	0	0	0	100	23	8	0	100	0	15	0	15	100	77	0	0	100	85	100	100	0	0	0	0	45	70	0	40	8	0	0	100	0	70	0	100	0
Y.rohdei	0	62	0	0	0	62	0	0	0	25	0	0	0	0	100	0	0	100	100	0	0	0	0	100	100	62	0	0	38	100	25	0	0	0	50	0	38	0	100	0	0	0	88	0	50	0	100	0
Y.aldovae	0	80	0	0	0	60	0	0	0	40	0	0	0	0	100	0	0	20	80	0	0	0	0	60	60	0	0	0	40	80	0	0	0	0	0	0	0	0	100	0	0	0	100	0	0	0	100	0
Y.bercovieri	0	100	0	0	0	60	0	0	0	80	0	0	0	0	100	0	20	100	100	0	20	0	0	100	100	0	0	100	100	100	100	0	0	20	0	0	0	0	100	0	0	0	100	0	80	0	100	0
Y.mollaretii	0	100	0	0	0	20	0	0	0	80	0	0	0	0	100	0	40	100	100	0	20	0	0	100	100	0	0	60	60	100	100	0	0	0	0	0	20	0	100	0	0	0	100	0	20	0	100	0
Yersinia_ruckeri	0	97	10	0	0	0	0	50	5	100	0	30	15	0	100	5	0	0	100	0	0	0	0	50	5	5	0	95	0	95	5	0	0	0	0	0	30	0	30	0	30	0	75	0	50	0	100	0
Y.regensvurgei_K.trabulsis	0	100	0	92	0	0	0	100	8	100	100	0	92	0	100	100	0	0	100	0	8	0	0	0	100	25	100	100	100	100	100	0	0	67	92	0	0	0	0	25	0	0	100	0	100	0	100	0
Enteric_Group_59	10	100	0	100	0	0	30	0	60	0	100	0	80	90	100	100	80	0	100	0	100	0	0	0	100	0	100	100	100	100	100	10	0	100	0	10	10	60	50	50	0	0	100	0	100	25	100	0
Enteric_Group_60	0	100	0	0	0	50	0	0	0	100	75	0	0	100	100	100	0	0	50	0	0	0	0	0	25	0	75	0	0	100	0	0	0	0	0	0	75	0	75	0	0	0	100	0	100	0	100	0
Enteric_Group_63	0	100	0	0	0	0	0	100	0	100	65	0	0	0	100	100	0	0	100	0	100	0	0	100	100	0	100	100	100	100	100	65	0	100	0	0	0	65	0	0	0	0	100	0	100	0	100	0
Enteric_Group_64	0	100	0	50	0	0	0	0	50	0	100	0	100	100	100	50	100	0	100	0	100	100	0	0	100	0	100	100	100	100	100	0	0	100	0	100	0	100	50	0	0	0	100	0	100	0	100	0
Enteric_Group_68	0	100	50	0	0	0	0	0	0	0	0	0	100	0	100	0	0	100	100	0	50	0	0	0	0	0	0	50	0	100	0	0	0	0	0	0	50	0	0	0	0	100	100	0	0	0	100	0
Enteric_Group_69	0	0	100	100	0	0	0	0	100	100	100	0	100	100	100	100	100	25	100	100	100	0	0	100	100	100	100	100	100	100	100	100	0	100	0	0	0	100	0	25	0	0	100	0	100	0	100	0
